EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Mika Forss 1182 	206 	169 	127 	282 	398 	1209834 	1023 	17 	42
Ari Moilanen	1294 	188 	140 	130 	315 	521 	944422 	729 	15 	35
Hannu Torvinen 	1407 	193 	167 	138 	349 	560 	899620 	639 	14 	35
Iikka Nurmonen 	645 	109 	86 	61 	146 	243 	781619 	1211 	17 	40
Jukka Torvinen 	1013 	100 	81 	99 	253 	480 	519173 	512 	10 	28
Tommi Kylliäinen 	511 	51 	61 	61 	140 	198 	477859 	935 	10 	34
Antti Teivainen 	854 	81 	69 	81 	216 	407 	428080 	501 	9 	27
Henri Bollström 	796 	86 	81 	71 	188 	370 	401093 	503 	11 	30
Esa Holopainen 	689 	65 	66 	68 	174 	316 	351436 	510 	9 	29
Olli Koivunen 	680 	101 	51 	77 	199 	252 	349712 	514 	15 	34
Santtu Raitala 	913 	95 	85 	88 	251 	394 	349699 	383 	10 	29
Tapio Perttunen 	586 	65 	60 	54 	164 	243 	304700 	519 	11 	31
Hannu Hietanen 	699 	85 	67 	66 	204 	277 	300100 	429 	12 	31
Jani Ruotsalainen 	674 	84 	78 	57 	175 	280 	290733 	431 	12 	32
Tuomas Korvenoja 	145 	20 	16 	22 	35 	52 	276777 	1908 	14 	40
Pekka Korpi 		187 	23 	22 	22 	46 	74 	271836 	1453 	12 	36
Tuomas Pakkanen 	605 	69 	67 	55 	153 	261 	261998 	433 	11 	32
Jarmo Saarela 	909 	67 	77 	81 	246 	438 	260897 	287 	7 	25
Risto Tupamäki 	287 	25 	19 	35 	73 	135 	221139 	770 	9 	28
Seppo Markkula 	499 	49 	55 	53 	123 	219 	218870 	438 	10 	31
Harri Kotilainen 	186 	30 	17 	24 	52 	63 	210561 	1132 	16 	38
Harri Koivunen 	531 	46 	45 	47 	181 	212 	209373 	394 	9 	26
Mauri Jaara 		472 	64 	57 	45 	121 	185 	200888 	425 	14 	35
Niko Jokela 		687 	63 	67 	55 	172 	330 	192410 	280 	9 	27
Antti Tupamäki 	145 	27 	14 	9 	35 	60 	172580 	1190 	19 	34
Juha Utala 		461 	35 	40 	44 	136 	206 	167608 	363 	8 	26
Markku Nieminen 	157 	23 	15 	14 	45 	60 	149184 	950 	15 	33
Jukka-Pekka Kauhanen 	381 	50 	33 	43 	94 	161 	144635 	379 	13 	33
Joni-Petteri Irri 	407 	40 	43 	37 	140 	147 	132103 	324 	10 	29
Teemu Okkolin 	227 	25 	26 	17 	52 	107 	130761 	576 	11 	30
Ville Pohjola 	462 	45 	33 	45 	143 	196 	129634 	280 	10 	27
Markku Hietanen 	235 	25 	16 	9 	62 	123 	122815 	522 	11 	21
Ville Korjus 	15 	8 	3 	1 	0 	3 	121100 	8073 	53 	80
Janne Soronen 	50 	15 	6 	4 	11 	14 	120653 	2413 	30 	50
Matti Nisonen 	87 	13 	12 	12 	18 	32 	116310 	1336 	15 	43
Terho Rautiainen 	140 	29 	18 	17 	31 	45 	115645 	826 	21 	46
Juha Länsimäki 	201 	13 	22 	22 	58 	86 	98540 	490 	6 	28
Arto Hammar 	316 	18 	37 	27 	104 	130 	96135 	304 	6 	26
Veli-Erkki Paavola 	270 	31 	22 	22 	75 	120 	89840 	332 	11 	28
Ville Tonttila 	227 	16 	21 	26 	74 	90 	88480 	389 	7 	28
Peter Lindroos 	276 	18 	26 	27 	75 	130 	87181 	315 	7 	26
Juha-Matti Paavola 	211 	17 	13 	25 	71 	85 	81250 	385 	8 	26
Marko Hakkarainen 	127 	25 	17 	9 	27 	49 	78802 	620 	20 	40
Pertti Puikkonen 	265 	18 	23 	25 	66 	133 	78160 	294 	7 	25
Kari Venäläinen 	266 	18 	19 	19 	74 	136 	76310 	286 	7 	21
Sami Vehviläinen 	410 	37 	29 	49 	104 	191 	75778 	184 	9 	28
Arto Laaksonen 	300 	21 	25 	24 	90 	140 	69215 	230 	7 	23
Petteri Joki 	206 	16 	22 	21 	61 	86 	67279 	326 	8 	29
Emma Väre 	195 	19 	18 	17 	39 	102 	67198 	344 	10 	28
Pekka Vehviläinen 	517 	42 	38 	49 	128 	260 	66056 	127 	8 	25
Tero E Mäenpää 	186 	17 	17 	20 	61 	71 	65760 	353 	9 	29
Teemu Keskitalo 	263 	16 	16 	20 	60 	151 	62205 	236 	6 	20
Heikki Mikkonen 	141 	15 	16 	12 	30 	68 	59300 	420 	11 	30
Juho Ihamuotila 	106 	11 	13 	10 	36 	36 	59050 	557 	10 	32
